# z; xe; Te
5.283783779999999979e+02 7.465321569999999697e-04 1.427927959999999985e+03
5.313313309999999774e+02 7.536834409999999731e-04 1.436221090000000004e+03
5.342842839999999569e+02 7.609609179999999966e-04 1.444510880000000043e+03
5.372372370000000501e+02 7.683680070000000395e-04 1.452797389999999950e+03
5.401901900000000296e+02 7.759082540000000272e-04 1.461080670000000055e+03
5.431431430000000091e+02 7.835853310000000325e-04 1.469360770000000002e+03
5.460960959999999886e+02 7.914030440000000260e-04 1.477637739999999894e+03
5.490490489999999681e+02 7.993653409999999532e-04 1.485911630000000059e+03
5.520020019999999477e+02 8.074763180000000358e-04 1.494182489999999916e+03
5.549549550000000409e+02 8.157402229999999961e-04 1.502450370000000021e+03
5.579079080000000204e+02 8.241614669999999896e-04 1.510715320000000020e+03
5.608608609999999999e+02 8.327446290000000426e-04 1.518977370000000064e+03
5.638138139999999794e+02 8.414944640000000201e-04 1.527236589999999978e+03
5.667667669999999589e+02 8.504159130000000198e-04 1.535493009999999913e+03
5.697197200000000521e+02 8.595141100000000187e-04 1.543746669999999995e+03
5.726726730000000316e+02 8.687943930000000458e-04 1.551997630000000072e+03
5.756256260000000111e+02 8.782623130000000384e-04 1.560245910000000094e+03
5.785785789999999906e+02 8.879236450000000140e-04 1.568491569999999911e+03
5.815315319999999701e+02 8.977843980000000312e-04 1.576734639999999899e+03
5.844844839999999522e+02 9.078508290000000249e-04 1.584975169999999935e+03
5.874374370000000454e+02 9.181294509999999914e-04 1.593213189999999940e+03
5.903903900000000249e+02 9.286270510000000245e-04 1.601448740000000043e+03
5.933433430000000044e+02 9.393507009999999468e-04 1.609681859999999915e+03
5.962962959999999839e+02 9.503077720000000124e-04 1.617912589999999909e+03
5.992492489999999634e+02 9.615059519999999676e-04 1.626140959999999950e+03
6.022022020000000566e+02 9.729532609999999668e-04 1.634367009999999937e+03
6.051551550000000361e+02 9.846580659999999707e-04 1.642590779999999995e+03
6.081081080000000156e+02 9.966291039999999792e-04 1.650812290000000075e+03
6.110610609999999951e+02 1.008875499999999960e-03 1.659031580000000076e+03
6.140140139999999747e+02 1.021406780000000012e-03 1.667248689999999897e+03
6.169669669999999542e+02 1.034232900000000037e-03 1.675463639999999941e+03
6.199199200000000474e+02 1.047364289999999989e-03 1.683676470000000108e+03
6.228728730000000269e+02 1.060811829999999982e-03 1.691887210000000096e+03
6.258258260000000064e+02 1.074586900000000077e-03 1.700095880000000079e+03
6.287787789999999859e+02 1.088701450000000015e-03 1.708302529999999933e+03
6.317317319999999654e+02 1.103167950000000057e-03 1.716507170000000087e+03
6.346846849999999449e+02 1.117999479999999980e-03 1.724709830000000011e+03
6.376376380000000381e+02 1.133209739999999901e-03 1.732910550000000057e+03
6.405905910000000176e+02 1.148813110000000042e-03 1.741109349999999949e+03
6.435435439999999971e+02 1.164824629999999936e-03 1.749306250000000091e+03
6.464964959999999792e+02 1.181260119999999903e-03 1.757501289999999926e+03
6.494494489999999587e+02 1.198136150000000087e-03 1.765694480000000112e+03
6.524024020000000519e+02 1.215470140000000053e-03 1.773885839999999916e+03
6.553553550000000314e+02 1.233280370000000049e-03 1.782075419999999895e+03
6.583083080000000109e+02 1.251586039999999901e-03 1.790263210000000072e+03
6.612612609999999904e+02 1.270407340000000032e-03 1.798449260000000095e+03
6.642142139999999699e+02 1.289765509999999922e-03 1.806633569999999963e+03
6.671671669999999494e+02 1.309682850000000020e-03 1.814816180000000031e+03
6.701201200000000426e+02 1.330182870000000059e-03 1.822997090000000071e+03
6.730730730000000221e+02 1.351290279999999965e-03 1.831176339999999982e+03
6.760260260000000017e+02 1.373031110000000029e-03 1.839353929999999991e+03
6.789789789999999812e+02 1.395432779999999972e-03 1.847529890000000023e+03
6.819319319999999607e+02 1.418524160000000011e-03 1.855704240000000027e+03
6.848848850000000539e+02 1.442335699999999906e-03 1.863876980000000003e+03
6.878378380000000334e+02 1.466899490000000018e-03 1.872048140000000103e+03
6.907907910000000129e+02 1.492249339999999905e-03 1.880217730000000074e+03
6.937437439999999924e+02 1.518420979999999913e-03 1.888385770000000093e+03
6.966966969999999719e+02 1.545452039999999951e-03 1.896552259999999933e+03
6.996496499999999514e+02 1.573382269999999911e-03 1.904717219999999998e+03
7.026026030000000446e+02 1.602253610000000045e-03 1.912880670000000009e+03
7.055555560000000241e+02 1.632110339999999927e-03 1.921042609999999968e+03
7.085085090000000037e+02 1.662999230000000023e-03 1.929203050000000076e+03
7.114614609999999857e+02 1.694969709999999928e-03 1.937362010000000055e+03
7.144144139999999652e+02 1.728073969999999919e-03 1.945519489999999905e+03
7.173673669999999447e+02 1.762367190000000035e-03 1.953675490000000082e+03
7.203203200000000379e+02 1.797907619999999972e-03 1.961830030000000079e+03
7.232732730000000174e+02 1.834756820000000080e-03 1.969983109999999897e+03
7.262262259999999969e+02 1.872979859999999910e-03 1.978134739999999965e+03
7.291791789999999764e+02 1.912645520000000017e-03 1.986284910000000082e+03
7.321321319999999560e+02 1.953826520000000178e-03 1.994433639999999968e+03
7.350850850000000491e+02 1.996599740000000022e-03 2.002580920000000106e+03
7.380380380000000287e+02 2.041046410000000016e-03 2.010726750000000038e+03
7.409909910000000082e+02 2.087252359999999807e-03 2.018871139999999968e+03
7.439439439999999877e+02 2.135308250000000126e-03 2.027014089999999896e+03
7.468968969999999672e+02 2.185309879999999816e-03 2.035155590000000075e+03
7.498498499999999467e+02 2.237358550000000026e-03 2.043295630000000074e+03
7.528028030000000399e+02 2.291561310000000181e-03 2.051434229999999843e+03
7.557557560000000194e+02 2.348031229999999938e-03 2.059571370000000115e+03
7.587087089999999989e+02 2.406887639999999960e-03 2.067707049999999981e+03
7.616616619999999784e+02 2.468256370000000092e-03 2.075841260000000148e+03
7.646146149999999579e+02 2.532270159999999888e-03 2.083974000000000160e+03
7.675675680000000511e+02 2.599069060000000052e-03 2.092105259999999817e+03
7.705205210000000307e+02 2.668800939999999965e-03 2.100235040000000026e+03
7.734734730000000127e+02 2.741621750000000114e-03 2.108363330000000133e+03
7.764264259999999922e+02 2.817695759999999834e-03 2.116490110000000186e+03
7.793793789999999717e+02 2.897195789999999858e-03 2.124615389999999934e+03
7.823323319999999512e+02 2.980303469999999975e-03 2.132739149999999881e+03
7.852852850000000444e+02 3.067209730000000113e-03 2.140861390000000029e+03
7.882382380000000239e+02 3.158115339999999910e-03 2.148982100000000173e+03
7.911911910000000034e+02 3.253231389999999834e-03 2.157101279999999861e+03
7.941441439999999830e+02 3.352779599999999947e-03 2.165218899999999849e+03
7.970970969999999625e+02 3.456992519999999968e-03 2.173334980000000087e+03
8.000500500000000557e+02 3.566113770000000054e-03 2.181449509999999918e+03
8.030030030000000352e+02 3.680398389999999832e-03 2.189562469999999848e+03
8.059559560000000147e+02 3.800113329999999911e-03 2.197673870000000079e+03
8.089089089999999942e+02 3.925537869999999770e-03 2.205783699999999953e+03
8.118618619999999737e+02 4.056964189999999817e-03 2.213891959999999926e+03
8.148148149999999532e+02 4.194697469999999692e-03 2.221998649999999998e+03
8.177677680000000464e+02 4.339055720000000241e-03 2.230103779999999915e+03
8.207207210000000259e+02 4.490369709999999896e-03 2.238207339999999931e+03
8.236736740000000054e+02 4.648983409999999858e-03 2.246309349999999995e+03
8.266266269999999849e+02 4.815254770000000108e-03 2.254409799999999905e+03
8.295795799999999645e+02 4.989556529999999643e-03 2.262508699999999862e+03
8.325325329999999440e+02 5.172276509999999654e-03 2.270606069999999818e+03
8.354854850000000397e+02 5.363817350000000227e-03 2.278701910000000225e+03
8.384384380000000192e+02 5.564596009999999739e-03 2.286796249999999873e+03
8.413913909999999987e+02 5.775043710000000302e-03 2.294889079999999922e+03
8.443443439999999782e+02 5.995606250000000415e-03 2.302980439999999817e+03
8.472972969999999577e+02 6.226744700000000007e-03 2.311070340000000215e+03
8.502502500000000509e+02 6.468935870000000303e-03 2.319158800000000156e+03
8.532032030000000304e+02 6.722672370000000105e-03 2.327245840000000044e+03
8.561561560000000100e+02 6.988462259999999801e-03 2.335331490000000031e+03
8.591091089999999895e+02 7.266828700000000155e-03 2.343415779999999813e+03
8.620620619999999690e+02 7.558309860000000067e-03 2.351498720000000048e+03
8.650150149999999485e+02 7.863459160000000822e-03 2.359580350000000180e+03
8.679679680000000417e+02 8.182845750000000695e-03 2.367660690000000159e+03
