"z","Tad/Tcmb","TkLX1/Tcmb","TkLX2/Tcmb","TkmQ/Tcmb","TkmQ+LX2/Tcmb"
20.6625,0.16074696013777984,0.16346969812307152,0.16356812022385572,0.08624917025756518,0.08907033034364106
20.674999999999997,0.1608359728783702,0.16356640205189624,0.16366357943414686,0.08632792799577627,0.08915553455155292
20.687500000000004,0.1609249804225678,0.16366310338945037,0.1637590512117925,0.08640668996053283,0.08924076074975751
20.7,0.16101398279131962,0.1637598021306279,0.16385453533947628,0.08648545610749232,0.08932600865564898
20.7125,0.1611029800034512,0.1638564982703346,0.1639500316003824,0.08656422639095107,0.08941127798788229
20.725,0.1611919720756887,0.163953191803488,0.16404553977819405,0.0866430007638599,0.08949656846636526
20.7375,0.16128095902268158,0.1640498827250172,0.16414105965709183,0.08672177917784048,0.08958187981225073
20.75,0.16136994085702486,0.16414657102986313,0.1642365910217527,0.08680056158320121,0.08966721174792905
20.762500000000003,0.16145891758928116,0.164243256674058,0.16433213259795662,0.08687934792895294,0.0897525629376284
20.775,0.16154788922800237,0.16433993898267216,0.16442766593715208,0.08695813816282451,0.08983791487197422
20.7875,0.16163685577975187,0.1644366186634658,0.16452321022718266,0.08703693223122771,0.08992328667865851
20.8,0.16172581724912546,0.16453329571519082,0.1646187653571723,0.08711573007706026,0.09000867818510709
20.8125,0.16181477363877322,0.16462997013660205,0.16471433121649928,0.08719453169034981,0.09009408926807587
20.825000000000003,0.16190372494942026,0.16472664192645717,0.16480990769479528,0.08727333708130694,0.09017951982668196
20.837500000000002,0.1619926711798882,0.1648233110835167,0.16490549468194463,0.08735214625831828,0.09026496976037471
20.85,0.16208161232711527,0.16491997760654398,0.16500109206808372,0.08743095922796558,0.09035043896893404
20.862500000000004,0.16217054838617787,0.16501664149430517,0.16509669974360017,0.08750977599504518,0.09043592735246749
20.875,0.16225947935031013,0.1651133027455693,0.16519231759913208,0.08758859656258661,0.09052143481140856
20.887500000000003,0.16234840521092506,0.1652099613591082,0.16528794552556753,0.0876674209318716,0.09060696124651407
20.900000000000002,0.1624373259576338,0.16530661733369642,0.16538358341404347,0.08774624910245254,0.09069250655886221
20.9125,0.1625262415782665,0.16540327066811142,0.1654792311559455,0.08782508107217127,0.09077807064985027
20.925,0.1626151520588915,0.16549992136113342,0.16557488864290681,0.08790391683717712,0.09086365342119244
20.937500000000004,0.16270405738383503,0.16559656941154538,0.16567055576680761,0.08798275639194524,0.09094925477491782
20.95,0.1627929575357009,0.165693214818133,0.16576623241977428,0.08806159972929457,0.09103487461336797
20.962500000000002,0.16288185249538978,0.1657898575796849,0.16586191849417897,0.08814044684040588,0.09112051283919508
20.975,0.1629707422421181,0.1658864976949922,0.16595761388263858,0.08821929771483929,0.09120616935535976
